place_name,place_city,address,category,description,reviews
Country Mall,Cebu,Banilad Rd,Shopping Mall & Food Court,TBD labyu all,3.9
SM Consolacion,Consolacion,Brgy Lamac,Shopping Mall & Food Court,TBD labyu all,4.3
Lava Mountain River Farm,Cebu,Sitio Balisong,Resort & Hotel,TBD labyu all,4.4
Hidden Valley Wave Pool And Mountain Resort,Pinamungajan,"Lut-od Barangay Hall, Lut-od Lamac","Resort, Hotel, and Water Park",TBD labyu all,4.2
La Parisienne Sky,Cebu,Tops Rd,Restaurant & Scenic Spots,TBD labyu all,4.3
Cebu Westown Lagoon,Mandaue,Cebu N. Rd.,"Resort, Hotel, Restaurant, Water Park",TBD labyu all,4.2
Enchanted Mountain Resort,Dalaguete,Brgy Lumbang,"Resort, Hotel, and Restaurant",TBD labyu all,4.6
Kandungaw Peak,Badian,Kandungaw,"Nature & Scenic Spots, Adventure",TBD labyu all,4.7
Cangkalanog Falls,Alegria,Alegria Barangay Rd,"Nature & Scenic Spots, Adventure",TBD labyu all,4.3
Kartzone,Cebu,F. Cabahug St.,Adventure,TBD labyu all,4.2
Archery Asia,Moalboal,Tuble Moalboal,"Adventure, Nature, Hotel",TBD labyu all,4.4
SM J Mall,Mandaue,A.S. Fortuna St.,"Shopping Mall, Food Court",TBD labyu all,4.1
Starmall,Talisay,N. Bacalso,"Shopping Mall, Food Court",TBD labyu all,4
